"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"110",1007,"NADS_IMPAIR_2_20220529101643.daq",3,"Dark",2,0,0.0805738198979823,0.42161692220656,0.497809257895458,-0.19906257963966,0.269717663981293,0.0419874725888074
"111",1008,"NADS_IMPAIR_3_20220530142327.daq",3,"Dark",2,0,0.198771519639792,0.419779911835367,0.381448568524841,-0.237484616560911,0.459257494505899,0.0428813316934455
"112",1028,"NADS_IMPAIR_2_20220712152303.daq",3,"Dark",2,0,0.125023045368717,0.514795022868592,0.360181931762691,-0.563658162408364,0.311231574029946,0.047068207103389
"113",1029,"NADS_IMPAIR_1_20220709145318.daq",3,"Dark",2,0,0.136614054598212,0.441910173963774,0.421475771438014,0.114194069066786,0.389250234267792,0.043827293609146
"114",1030,"NADS_IMPAIR_3_20220710153640.daq",3,"Dark",2,0,0.150563298336631,0.456836894062485,0.392599807600884,-0.18110200454261,0.35100640604529,0.0398589126654919
"115",2012,"NADS_IMPAIR_2_20220709094523.daq",3,"Dark",2,0,0.138429858843327,0.465467976385006,0.396102164771667,-0.272580384015335,0.541575058432487,0.0422567524669092
"116",2020,"NADS_IMPAIR_2_20220712095304.daq",3,"Dark",2,0,0.156522800228918,0.411764464223682,0.4317127355474,-0.43736599421548,0.50368583050887,0.0348041290526125
"117",1,"NADS_IMPAIR_1_20220526150752.daq",3,"Gravel",2,0,0.169451898592773,0.599121676722844,0.231426424684383,0.711357313116464,0.220524527232573,0.0305810043118642
"118",2,"NADS_IMPAIR_1_20220403104348.daq",3,"Gravel",2,0,0.748458583118248,0.108665268782854,0.142876148098898,0.264228513881258,0.206732104144392,0.0728416725965491
"119",3,"NADS_IMPAIR_3_20220427095517.daq",3,"Gravel",2,0,0.219303693205472,0.431305020152334,0.349391286642194,-0.134394302901601,0.00361551803145651,0.0317892585637021
"120",5,"NADS_IMPAIR_2_20220429094441.daq",3,"Gravel",2,0,0.99763426429142,0,0.00236573570858036,0.738233345059491,0.333343111013605,0.107060763097255
"121",6,"NADS_IMPAIR_3_20220507145828.daq",3,"Gravel",2,0,0.879263752861383,0.120736247138617,0,-0.201674670774285,-0.00510625744029133,0.14402611177294
"122",9,"NADS_IMPAIR_1_20220506150209.daq",3,"Gravel",2,0,0.586120028463965,0.413879971536035,0,1.27995980612959,0.780827711042564,0.124638684528644
"123",10,"NADS_IMPAIR_3_20220330095122.daq",3,"Gravel",2,0,0.755916298941806,0.233679097714596,0.0104046033435975,1.12280892274933,0.473738873202843,0.102415130264345
"124",11,"NADS_IMPAIR_1_20220507092123.daq",3,"Gravel",2,0,0.916772175934199,0.0832278240658011,0,0.128389286707492,0.145718155478135,0.0991314000604781
"125",13,"NADS_IMPAIR_3_20220504104317.daq",3,"Gravel",2,0,0.263034957072352,0.564627700673437,0.172337342254212,0.676557600050759,0.248711917471876,0.028522323479643
"126",14,"NADS_IMPAIR_2_20220410093936.daq",3,"Gravel",2,0,0.258251947454112,0.524459959039364,0.217288093506524,3.64563696457535,0.902657452739313,0.0297293525012323
"127",15,"NADS_IMPAIR_2_20220527150054.daq",3,"Gravel",2,0,0.127107046240761,0.672777898339945,0.200115055419294,1.75722451793407,0.389578095924807,0.0326102936143913
"128",16,"NADS_IMPAIR_1_20220415102453.daq",3,"Gravel",2,0,0.167981243819628,0.562435166287735,0.269583589892637,0.495230535590883,0.0800491935880981,0.0400372764361279
