"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_1_20220526150752.daq",3,"Dark",2,0,0.104536594217995,0.417867677205257,0.477595728576748,-0.0103647202836618,0.586497541357639,0.041007300214293
"2",2,"NADS_IMPAIR_1_20220403104348.daq",3,"Dark",2,0,0.152587375958723,0.44386570449473,0.403546919546547,0.0164468390305537,0.457194571234511,0.0447115381668176
"3",3,"NADS_IMPAIR_3_20220427095517.daq",3,"Dark",2,0,0.146139849600674,0.47832020535621,0.375539945043116,0.192417677814722,0.203051826827827,0.0413406437972294
"4",5,"NADS_IMPAIR_2_20220429094441.daq",3,"Dark",2,0,0.264343830248501,0.38624397239953,0.349412197351969,-0.462031478750735,0.490930615888949,0.0418173988174109
"5",6,"NADS_IMPAIR_3_20220507145828.daq",3,"Dark",2,0,0.173248706618545,0.405023572461137,0.421727720920318,-0.154267696623554,0.468859235816801,0.0510937692270269
"6",9,"NADS_IMPAIR_1_20220506150209.daq",3,"Dark",2,0,0.111658310544236,0.389221249663557,0.499120439792207,0.194166453457887,0.24252273051524,0.0469071976169193
"7",10,"NADS_IMPAIR_3_20220330095122.daq",3,"Dark",2,0,0.0897250278077341,0.40682836186501,0.503446610327256,-0.276593197962088,0.41905689510768,0.0504963328481954
"8",11,"NADS_IMPAIR_1_20220507092123.daq",3,"Dark",2,0,0.178505225885757,0.432436377532924,0.389058396581319,-0.20362727384838,0.470159114813266,0.0416748423512381
"9",13,"NADS_IMPAIR_3_20220504104317.daq",3,"Dark",2,0,0.214381052327976,0.382276459877499,0.403342487794524,-0.402187454259457,0.601214636258892,0.0411864262728457
"10",14,"NADS_IMPAIR_2_20220410093936.daq",3,"Dark",2,0,0.182970086111851,0.408859106169607,0.408170807718542,-0.203374769819506,0.159401750118123,0.0423762420728521
"11",15,"NADS_IMPAIR_2_20220527150054.daq",3,"Dark",2,0,0.117782797424676,0.443968176349248,0.438249026226076,-0.298472599027241,0.181538198879657,0.0407586133282859
"12",16,"NADS_IMPAIR_1_20220415102453.daq",3,"Dark",2,0,0.0675842686049251,0.421920830104247,0.510494901290828,0.197776894356162,0.444073311401325,0.0501628440596754
"13",17,"NADS_IMPAIR_1_20220511092705.daq",3,"Dark",2,0,0.0950073436864349,0.437050110897359,0.467942545416206,-0.503103920659977,0.73815193783495,0.0378355640578066
"14",18,"NADS_IMPAIR_1_20220411094350.daq",3,"Dark",2,0,0.0782122603825859,0.503117400349422,0.418670339267992,-0.276018054485229,0.483589386959846,0.0453145176832319
"15",19,"NADS_IMPAIR_2_20220430151116.daq",3,"Dark",2,0,0.158966397774292,0.483816188252252,0.357217413973457,-0.353095370397511,0.29281006160584,0.046111285004138
