"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",3,"NADS_IMPAIR_2_RS2_20220427084050.daq",0,"Gravel",1,2,0.226259265308181,0.570800014192923,0.202940720498896,0.331318622608026,0.0963333228490022,0.0323694047664072
"2",9,"NADS_IMPAIR_3_RS2_20220506135700.daq",0,"Gravel",1,2,0.995979477698987,0.00402052230101335,0,0.225128557619313,0.115762679609819,0.131539714688736
"3",1007,"NADS_IMPAIR_3_RS2_20220529091527.daq",0,"Gravel",1,2,0.222985042051962,0.546720766020012,0.230294191928026,1.12188490042411,0.245595491751301,0.143830099556141
"4",1030,"NADS_IMPAIR_2_RS2_20220710140701.daq",0,"Gravel",1,2,0.840108385450479,0.159891614549521,0,0.465401570758303,0.163164319761345,0.147528248275088
"5",3,"NADS_IMPAIR_2_RS2_20220427084050.daq",0,"RuralStr",1,2,0.0234942952278363,0.0129057949541594,0.963599909818004,-0.0458579213015445,0.0349049285562113,0.00152974125275424
"6",9,"NADS_IMPAIR_3_RS2_20220506135700.daq",0,"RuralStr",1,2,0.687008570390426,0.0270532523374244,0.285938177272149,-7.64572524694437,-11.4987968959334,0.00599545940974451
"7",1007,"NADS_IMPAIR_3_RS2_20220529091527.daq",0,"RuralStr",1,2,0.0598483368440714,0.250906184844605,0.689245478311324,0.0283035768251361,0.252990530748132,0.031831399032396
"8",1030,"NADS_IMPAIR_2_RS2_20220710140701.daq",0,"RuralStr",1,2,0.0181491962745169,0.0204386500417738,0.961412153683709,0.0712736837263726,0.126344182231071,0.0019858640395839
