"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_2_20220526174012.daq",3,"Dark",4,0,0.199370746096295,0.444016937570586,0.356612316333118,-0.285296029263787,0.644032585292254,0.0455341259535018
"2",2,"NADS_IMPAIR_3_20220403131223.daq",3,"Dark",4,0,0.130064288894875,0.475816433668697,0.394119277436428,0.0619149475565652,0.313155335801665,0.0455699249053871
"3",3,"NADS_IMPAIR_2_20220427121324.daq",3,"Dark",4,0,0.174552260649269,0.429863110576144,0.395584628774588,-0.259512329855791,0.17079036146377,0.0429572592073623
"4",5,"NADS_IMPAIR_3_20220429121125.daq",3,"Dark",4,0,0.159458199344362,0.463801186715265,0.376740613940373,0.208465522957839,0.220817152029572,0.0448394443967469
"5",6,"NADS_IMPAIR_2_20220507172308.daq",3,"Dark",4,0,0.207046925495606,0.426078206398146,0.366874868106249,-0.413836070570643,0.359698925591167,0.0503300252926899
"6",9,"NADS_IMPAIR_3_20220506172834.daq",3,"Dark",4,0,0.103768996890317,0.306234287054301,0.589996716055381,0.193531706156747,0.252593553526263,0.0511429056284105
"7",10,"NADS_IMPAIR_1_20220330121622.daq",3,"Dark",4,0,0.129604103954256,0.409620744668896,0.460775151376848,-0.401441979039379,0.359640337276552,0.0475070849054959
"8",11,"NADS_IMPAIR_2_20220507115210.daq",3,"Dark",4,0,0.15536642382292,0.418863037464111,0.425770538712969,-0.541594591718781,0.427156713010638,0.043125222767123
"9",13,"NADS_IMPAIR_1_20220504130820.daq",3,"Dark",4,0,0.263374764919261,0.382806915379968,0.35381831970077,-0.200813672208401,0.531351664568744,0.0416214584015112
"10",14,"NADS_IMPAIR_3_20220410120635.daq",3,"Dark",4,0,0.204922070965956,0.406085311038417,0.388992617995628,-0.103228164963264,0.565202316868318,0.0417032849833309
"11",15,"NADS_IMPAIR_1_20220527172725.daq",3,"Dark",4,0,0.194483450501909,0.395723760948067,0.409792788550024,0.180711811508557,0.163424632647666,0.0413651133369691
"12",16,"NADS_IMPAIR_3_20220415125000.daq",3,"Dark",4,0,0.0756295822011928,0.461984910969434,0.462385506829373,0.157780416279967,0.481754672135567,0.0495550702158282
"13",17,"NADS_IMPAIR_3_20220511115732.daq",3,"Dark",4,0,0.116153659777609,0.454825425852441,0.42902091436995,-0.324369600757615,0.597863331930101,0.0396200830055797
"14",18,"NADS_IMPAIR_2_20220411120847.daq",3,"Dark",4,0,0.101452685350315,0.481180863256467,0.417366451393218,-0.705257824995335,0.335823385375665,0.0464426892478503
"15",19,"NADS_IMPAIR_3_20220430174102.daq",3,"Dark",4,0,0.167915157703129,0.44604302926863,0.386041813028241,0.0123835608016071,0.408017254286417,0.0417722983838959
"16",21,"NADS_IMPAIR_1_20220502120826.daq",3,"Dark",4,0,0.107005321163975,0.319522681148954,0.573471997687072,-0.260229325259543,0.471622775183769,0.0498509878296438
"17",22,"NADS_IMPAIR_2_20220430115631.daq",3,"Dark",4,0,0.157856858932666,0.411904108805118,0.430239032262216,-0.309390586283564,0.486992852839382,0.0441218609486434
"18",23,"NADS_IMPAIR_1_20220528120617.daq",3,"Dark",4,0,0.120700600922035,0.437756683581024,0.441542715496941,0.192632725353044,0.526212851638179,0.0489711542874385
"19",24,"NADS_IMPAIR_2_20220506120353.daq",3,"Dark",4,0,0.144382693110395,0.466386519957812,0.389230786931793,-0.388190193789162,0.200388664453588,0.0430436677159644
"20",25,"NADS_IMPAIR_3_20220523120350.daq",3,"Dark",4,0,0.172771329292255,0.405173019427683,0.422055651280061,0.178091131062007,0.601186813469046,0.0420577597080801
"21",26,"NADS_IMPAIR_1_20220525121345.daq",3,"Dark",4,0,0.224901476126159,0.381496424660094,0.393602099213747,-0.0130624395135251,0.215342270722296,0.0371142553893075
"22",27,"NADS_IMPAIR_1_20220522121743.daq",3,"Dark",4,0,0.0998574907712667,0.322453405951426,0.577689103277307,0.151080701243893,0.105687398991169,0.0532409952300438
"23",1004,"NADS_IMPAIR_1_20220708121035.daq",3,"Dark",4,0,0.13492091964948,0.51465925759802,0.350419822752501,-0.015048255723436,0.232583878210988,0.0520660061555985
"24",1007,"NADS_IMPAIR_3_20220529124229.daq",3,"Dark",4,0,0.0807401298617839,0.366358160209864,0.552901709928353,0.183389787181644,0.203716047643871,0.0481790154683602
"25",1008,"NADS_IMPAIR_2_20220530165442.daq",3,"Dark",4,0,0.130749370210684,0.488436749249353,0.380813880539963,-0.446875863287106,0.412544502232935,0.0526999182447233
"26",1028,"NADS_IMPAIR_1_20220712174726.daq",3,"Dark",4,0,0.0936723600923935,0.510523220871451,0.395804419036155,-0.301137848150195,0.512471889783604,0.052494895255803
"27",1029,"NADS_IMPAIR_2_20220709172213.daq",3,"Dark",4,0,0.106003379401692,0.442479250838732,0.451517369759577,-0.395677027566425,0.285396709376902,0.0480137266154779
"28",1030,"NADS_IMPAIR_2_20220710173240.daq",3,"Dark",4,0,0.151786137494852,0.476366891827062,0.371846970678086,-0.733036465016395,0.525286443414681,0.041893766856885
"29",2012,"NADS_IMPAIR_3_20220709120859.daq",3,"Dark",4,0,0.145345548906071,0.424448011060373,0.430206440033556,-0.112777867448942,0.581564117655243,0.0424558849974038
"30",2020,"NADS_IMPAIR_1_20220712120721.daq",3,"Dark",4,0,0.103705342910497,0.46923965808715,0.427054999002354,-0.0517227928918253,0.600031597989109,0.0386599698264623
"31",1,"NADS_IMPAIR_2_20220526174012.daq",3,"Gravel",4,0,0.170786694025786,0.68467803314926,0.144535272824954,1.37965687350268,0.43874534126689,0.0335242013209096
"32",2,"NADS_IMPAIR_3_20220403131223.daq",3,"Gravel",4,0,0.559220362885311,0.399585097448609,0.0411945396660799,1.11524039741996,0.82415107163772,0.080821176265262
"33",5,"NADS_IMPAIR_3_20220429121125.daq",3,"Gravel",4,0,1,0,0,-0.148497944845221,0.0181826867140436,0.0791553200906561
"34",6,"NADS_IMPAIR_2_20220507172308.daq",3,"Gravel",4,0,0.476212408191017,0.420714002601281,0.103073589207703,0.628814585949354,0.362195833920848,0.0722769495161235
"35",9,"NADS_IMPAIR_3_20220506172834.daq",3,"Gravel",4,0,0.211839955197282,0.531277718302142,0.256882326500576,1.13636431357947,0.840425685283371,0.0848232788566256
"36",10,"NADS_IMPAIR_1_20220330121622.daq",3,"Gravel",4,0,0.130698843321367,0.632361582296355,0.236939574382278,0.473639614301997,0.317724904106594,0.0322116316191768
"37",11,"NADS_IMPAIR_2_20220507115210.daq",3,"Gravel",4,0,1,0,0,0.625508654849671,0.409508734971539,0.0977896117981196
"38",13,"NADS_IMPAIR_1_20220504130820.daq",3,"Gravel",4,0,0.232899723159814,0.600339325640222,0.166760951199964,1.15702306863173,0.339158284038318,0.0293671647416247
"39",14,"NADS_IMPAIR_3_20220410120635.daq",3,"Gravel",4,0,0.144895832682322,0.67395761228345,0.181146555034228,0.854101026961434,0.284758370674653,0.0321039500528923
"40",15,"NADS_IMPAIR_1_20220527172725.daq",3,"Gravel",4,0,0.177252069104971,0.568344892342301,0.254403038552728,2.67045019692671,0.559231093259456,0.0389990358359832
"41",16,"NADS_IMPAIR_3_20220415125000.daq",3,"Gravel",4,0,0.149341977627703,0.698058188514676,0.152599833857621,2.12222550649443,0.585301707580238,0.0347535659710191
"42",17,"NADS_IMPAIR_3_20220511115732.daq",3,"Gravel",4,0,0.489070707576247,0.455961389920392,0.0549679025033612,0.933453319484887,0.57181627646472,0.0661297508641324
"43",18,"NADS_IMPAIR_2_20220411120847.daq",3,"Gravel",4,0,0.383569406493757,0.616430593506243,0,0.469039364764763,0.38119546984819,0.0951377938093528
"44",19,"NADS_IMPAIR_3_20220430174102.daq",3,"Gravel",4,0,0.81604026294718,0.0368901884212767,0.147069548631543,0.848227731712052,0.545675990253555,0.0635986042231929
"45",21,"NADS_IMPAIR_1_20220502120826.daq",3,"Gravel",4,0,0.112170638602925,0.586973215324775,0.3008561460723,0.683918663147677,0.219565255939352,0.0436906946260931
"46",22,"NADS_IMPAIR_2_20220430115631.daq",3,"Gravel",4,0,0.0946214754382741,0.708990668789101,0.196387855772625,1.58592007255291,0.519894036770358,0.0352628727482215
"47",23,"NADS_IMPAIR_1_20220528120617.daq",3,"Gravel",4,0,0.141597506620047,0.540636558517087,0.317765934862866,3.89415659510693,0.742930748117328,0.0440459815028875
"48",24,"NADS_IMPAIR_2_20220506120353.daq",3,"Gravel",4,0,0.119127278364569,0.676177168547625,0.204695553087807,-0.460249170334494,-0.126488391148656,0.0324892774169175
"49",25,"NADS_IMPAIR_3_20220523120350.daq",3,"Gravel",4,0,1,0,0,1.02201605896715,0.61273798837688,0.107876666504954
"50",26,"NADS_IMPAIR_1_20220525121345.daq",3,"Gravel",4,0,1,0,0,0.374994447133661,0.196644409663837,0.0838883356912567
"51",27,"NADS_IMPAIR_1_20220522121743.daq",3,"Gravel",4,0,0.207910613926602,0.295417579242916,0.496671806830482,2.1869588582339,0.414965352705054,0.0586650200432624
"52",1004,"NADS_IMPAIR_1_20220708121035.daq",3,"Gravel",4,0,0.10973371803199,0.708553299145928,0.181712982822082,3.2382663247019,1.07203465595248,0.0398622611352492
"53",1007,"NADS_IMPAIR_3_20220529124229.daq",3,"Gravel",4,0,0.104949038948453,0.409598591284744,0.485452369766803,1.09462793868867,0.289147475572903,0.0595598803573999
"54",1008,"NADS_IMPAIR_2_20220530165442.daq",3,"Gravel",4,0,0.13545654656949,0.5395762950068,0.32496715842371,3.20506849950344,0.657913951091055,0.0413458894210463
"55",1028,"NADS_IMPAIR_1_20220712174726.daq",3,"Gravel",4,0,0.119128925582876,0.670500198941159,0.210370875475964,0.194681285788081,0.0538216906008062,0.0380104348747788
