"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",3,"NADS_IMPAIR_2_RS2_20220427084050.daq",0,"Gravel",1,2,0.226259265308181,0.570800014192923,0.202940720498896,0.35901110307396,0.104285132373261,0.0323694047664072
"2",9,"NADS_IMPAIR_3_RS2_20220506135700.daq",0,"Gravel",1,2,0.995979477698987,0.00402052230101335,0,0.852949049498922,0.423478002509859,0.131539714688736
"3",1007,"NADS_IMPAIR_3_RS2_20220529091527.daq",0,"Gravel",1,2,0.222985042051962,0.546720766020012,0.230294191928026,1.5994342175925,0.350749395824614,0.143830099556141
"4",1030,"NADS_IMPAIR_2_RS2_20220710140701.daq",0,"Gravel",1,2,0.840108385450479,0.159891614549521,0,0.933571128233435,0.322991562056847,0.147528248275088
"5",3,"NADS_IMPAIR_2_RS2_20220427084050.daq",0,"RuralStr",1,2,0.0234942952278363,0.0129057949541594,0.963599909818004,-0.036211620104516,0.0497730980848564,0.00152974125275424
"6",9,"NADS_IMPAIR_3_RS2_20220506135700.daq",0,"RuralStr",1,2,0.687008570390426,0.0270532523374244,0.285938177272149,-7.64367203160639,-11.4714988642571,0.00599545940974451
"7",1007,"NADS_IMPAIR_3_RS2_20220529091527.daq",0,"RuralStr",1,2,0.0598483368440714,0.250906184844605,0.689245478311324,0.042995345480178,0.32703711483877,0.031831399032396
"8",1030,"NADS_IMPAIR_2_RS2_20220710140701.daq",0,"RuralStr",1,2,0.0181491962745169,0.0204386500417738,0.961412153683709,0.0757922704955177,0.152861266487544,0.0019858640395839
