"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_2_20220526140427.daq",0,"Dark",1,0,0.10585600740475,0.51465701092318,0.379486981672069,-0.0476198711245031,0.720653929861899,0.0509129398655523
"2",2,"NADS_IMPAIR_3_20220403093825.daq",0,"Dark",1,0,0.116011599361277,0.466579196993212,0.41740920364551,0.259405086953766,0.458344181594433,0.0474774020091753
"3",3,"NADS_IMPAIR_2_20220427083317.daq",0,"Dark",1,0,0.187877284182352,0.44357956764502,0.368543148172628,-0.138931908413169,0.320015047391709,0.0467738392067997
"4",5,"NADS_IMPAIR_3_20220429084416.daq",0,"Dark",1,0,0.127131620844188,0.487335573934228,0.385532805221584,0.230388658380224,0.351812034091652,0.0466419052376936
"5",6,"NADS_IMPAIR_2_20220507135543.daq",0,"Dark",1,0,0.105132424910914,0.395495516258748,0.499372058830337,-0.495809472452537,0.454533752911706,0.0555662428592541
"6",9,"NADS_IMPAIR_3_20220506134935.daq",0,"Dark",1,0,0.11788301821369,0.358250264894319,0.523866716891992,0.121907283405673,0.184669168102069,0.0488952686817354
"7",10,"NADS_IMPAIR_1_20220330084228.daq",0,"Dark",1,0,0.0981422367094703,0.431764930132423,0.470092833158107,-0.238033774507991,0.38339655430235,0.0497148875162179
"8",11,"NADS_IMPAIR_2_20220507082442.daq",0,"Dark",1,0,0.166891168714106,0.426909893756631,0.406198937529263,-0.415211667237045,0.708770434388722,0.0431852455064884
"9",13,"NADS_IMPAIR_1_20220504093724.daq",0,"Dark",1,0,0.185531299922224,0.372433321338869,0.442035378738907,-0.380725959885547,0.665572525255249,0.0479248859633855
"10",14,"NADS_IMPAIR_3_20220410083141.daq",0,"Dark",1,0,0.151334517283864,0.436518141426328,0.412147341289808,0.0268766375359087,0.427368680282403,0.042893060260423
"11",15,"NADS_IMPAIR_1_20220527135536.daq",0,"Dark",1,0,0.187718229922714,0.391342091634199,0.420939678443087,-0.200853681486664,0.570076802463175,0.0401653390376248
"12",16,"NADS_IMPAIR_3_20220415092038.daq",0,"Dark",1,0,0.099841918582697,0.423543156876085,0.476614924541218,0.0840904466681359,0.346717628027799,0.050462576988337
"13",17,"NADS_IMPAIR_3_20220511082921.daq",0,"Dark",1,0,0.101383305596018,0.443485366154422,0.45513132824956,-0.759989771138496,0.842284557038961,0.0399822269465447
"14",18,"NADS_IMPAIR_2_20220411084131.daq",0,"Dark",1,0,0.121428028763939,0.481064359520975,0.397507611715086,-1.16130335757478,0.609470511321244,0.0455996849120549
"15",19,"NADS_IMPAIR_3_20220430141153.daq",0,"Dark",1,0,0.173081143588677,0.44989208711433,0.377026769296993,-0.016168946907161,0.400583252962062,0.047004446089197
"16",21,"NADS_IMPAIR_1_20220502083604.daq",0,"Dark",1,0,0.088249735729213,0.438704576010753,0.473045688260034,-0.221020140953478,0.594047956850359,0.049139074847061
"17",22,"NADS_IMPAIR_2_20220430082844.daq",0,"Dark",1,0,0.149119830266354,0.413697606548475,0.437182563185172,-0.171295170496519,0.558224034231589,0.0439107949004516
"18",23,"NADS_IMPAIR_1_20220528083501.daq",0,"Dark",1,0,0.124875031825055,0.490673409629114,0.384451558545832,0.206977104861174,0.363323597998829,0.047198757009536
"19",24,"NADS_IMPAIR_2_20220506083407.daq",0,"Dark",1,0,0.163315823791195,0.456160767477315,0.380523408731489,-0.286383806859706,0.214643164755435,0.0473624244376928
"20",25,"NADS_IMPAIR_3_20220523083238.daq",0,"Dark",1,0,0.152992966217232,0.380635225003144,0.466371808779624,0.0588211423884362,0.767767539272325,0.0436289137409813
"21",26,"NADS_IMPAIR_1_20220525083546.daq",0,"Dark",1,0,0.185535976677004,0.41630654251567,0.398157480807326,0.0775259549056251,0.279965584710372,0.0401502023186038
"22",27,"NADS_IMPAIR_1_20220522083911.daq",0,"Dark",1,0,0.108720367741023,0.419140267268509,0.472139364990468,0.220022916537882,0.162880735380295,0.0455032672818134
"23",1004,"NADS_IMPAIR_1_20220708084102.daq",0,"Dark",1,0,0.158955871713688,0.480438698084929,0.360605430201383,0.180315578122691,0.357624457393056,0.0481197769158904
"24",1007,"NADS_IMPAIR_3_20220529090643.daq",0,"Dark",1,0,0.106960479848053,0.341039823181985,0.551999696969962,0.222559719536173,0.242872923102522,0.0404730277031159
"25",1008,"NADS_IMPAIR_2_20220530132213.daq",0,"Dark",1,0,0.116452409888994,0.456795469652972,0.426752120458034,-0.237401133625176,0.528760380414021,0.0435703079088776
"26",1028,"NADS_IMPAIR_1_20220712142045.daq",0,"Dark",1,0,0.0730924507333639,0.517707514723242,0.409200034543395,-0.437555411695907,0.561481087965264,0.049893233826925
"27",1029,"NADS_IMPAIR_2_20220709135457.daq",0,"Dark",1,0,0.0787682292063372,0.469181292367099,0.452050478426564,-0.464046573736228,0.363005972550745,0.0480500851664143
"28",1030,"NADS_IMPAIR_2_20220710135859.daq",0,"Dark",1,0,0.109459616469813,0.439703138564042,0.450837244966145,-0.663854284628462,0.61022461172539,0.0489965652225733
"29",2012,"NADS_IMPAIR_3_20220709084027.daq",0,"Dark",1,0,0.15267154561225,0.459564712142128,0.387763742245622,-0.0361323132701203,0.470648265884521,0.0414897119984446
"30",2020,"NADS_IMPAIR_1_20220712083309.daq",0,"Dark",1,0,0.136072849020169,0.434686411655145,0.429240739324686,-0.19329510353721,0.590027279755239,0.0386298096134027
"31",1,"NADS_IMPAIR_2_20220526140427.daq",0,"Gravel",1,0,0.221350478096459,0.578832255529477,0.199817266374065,0.773506067726136,0.232109528694508,0.0325469093915184
"32",2,"NADS_IMPAIR_3_20220403093825.daq",0,"Gravel",1,0,0.802779157458837,0.0475096005827725,0.149711241958391,1.24572162272685,0.697100747189985,0.0749850002656371
"33",3,"NADS_IMPAIR_2_20220427083317.daq",0,"Gravel",1,0,0.210326617631901,0.560131902751249,0.229541479616849,0.887573152550822,0.204131126202025,0.0357684670745642
