"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"108",23,"NADS_IMPAIR_1_20220528120617.daq",3,"Dark",4,0,0.120700600922035,0.437756683581024,0.441542715496941,0.189663175311733,0.504958699200831,0.0489711542874385
"109",24,"NADS_IMPAIR_2_20220506120353.daq",3,"Dark",4,0,0.144382693110395,0.466386519957812,0.389230786931793,-0.384269820811766,0.19598289843467,0.0430436677159644
"110",25,"NADS_IMPAIR_3_20220523120350.daq",3,"Dark",4,0,0.172771329292255,0.405173019427683,0.422055651280061,0.180471156823025,0.574082103258539,0.0420577597080801
"111",26,"NADS_IMPAIR_1_20220525121345.daq",3,"Dark",4,0,0.224901476126159,0.381496424660094,0.393602099213747,0.0014777536770529,0.194356892328622,0.0371142553893075
"112",27,"NADS_IMPAIR_1_20220522121743.daq",3,"Dark",4,0,0.0998574907712667,0.322453405951426,0.577689103277307,0.153220409174053,0.10331006236711,0.0532409952300438
"113",1004,"NADS_IMPAIR_1_20220708121035.daq",3,"Dark",4,0,0.13492091964948,0.51465925759802,0.350419822752501,-0.0136529978828102,0.215042933398442,0.0520660061555985
"114",1007,"NADS_IMPAIR_3_20220529124229.daq",3,"Dark",4,0,0.0807401298617839,0.366358160209864,0.552901709928353,0.184040389980495,0.20043030145978,0.0481790154683602
"115",1008,"NADS_IMPAIR_2_20220530165442.daq",3,"Dark",4,0,0.130749370210684,0.488436749249353,0.380813880539963,-0.438063630895625,0.399278803235202,0.0526999182447233
"116",1028,"NADS_IMPAIR_1_20220712174726.daq",3,"Dark",4,0,0.0936723600923935,0.510523220871451,0.395804419036155,-0.284192540642586,0.494970968473467,0.052494895255803
"117",1029,"NADS_IMPAIR_2_20220709172213.daq",3,"Dark",4,0,0.106003379401692,0.442479250838732,0.451517369759577,-0.378895416856497,0.271636001654625,0.0480137266154779
"118",1030,"NADS_IMPAIR_2_20220710173240.daq",3,"Dark",4,0,0.151786137494852,0.476366891827062,0.371846970678086,-0.702316286754683,0.501560582757385,0.041893766856885
"119",2012,"NADS_IMPAIR_3_20220709120859.daq",3,"Dark",4,0,0.145345548906071,0.424448011060373,0.430206440033556,-0.102836709909951,0.558346136823007,0.0424558849974038
"120",2020,"NADS_IMPAIR_1_20220712120721.daq",3,"Dark",4,0,0.103705342910497,0.46923965808715,0.427054999002354,-0.0427436989365558,0.581374016727457,0.0386599698264623
"121",1,"NADS_IMPAIR_2_20220526140427.daq",0,"RuralStr",1,0,0.0167030870352753,0.0230508467906625,0.960246066174062,0.134247086610965,0.114453588201043,0.00111731360942766
"122",2,"NADS_IMPAIR_3_20220403093825.daq",0,"RuralStr",1,0,0.0112915906028388,0.0314519942548222,0.957256415142339,-0.0452583964461582,0.0936362914993966,0.00116893909028384
"123",5,"NADS_IMPAIR_3_20220429084416.daq",0,"RuralStr",1,0,0.0106988574787276,0.0137805763570536,0.975520566164219,0.0422972415264472,0.0909831509967081,0.000773396481374862
"124",6,"NADS_IMPAIR_2_20220507135543.daq",0,"RuralStr",1,0,0.0248127326192403,0.0304061736013064,0.944781093779453,0.0051610732567889,0.271612007631029,0.00188353355941671
"125",10,"NADS_IMPAIR_1_20220330084228.daq",0,"RuralStr",1,0,0.0361249976523824,0.0174329043258404,0.946442098021777,-0.229257438838806,0.30071461132983,0.00354067712610983
"126",11,"NADS_IMPAIR_2_20220507082442.daq",0,"RuralStr",1,0,0.0119472592436096,0.0187332714786549,0.969319469277735,0.0346650056012841,0.22952083947693,0.00105678177536276
"127",13,"NADS_IMPAIR_1_20220504093724.daq",0,"RuralStr",1,0,0.02582964398911,0.0211932110901186,0.952977144920771,0.0490427589063647,0.0444588593681316,0.00151868456594677
"128",14,"NADS_IMPAIR_3_20220410083141.daq",0,"RuralStr",1,0,0.0190442015189363,0.0130982223996872,0.967857576081377,0.226441933016753,0.253701893752282,0.00121227297209992
"129",15,"NADS_IMPAIR_1_20220527135536.daq",0,"RuralStr",1,0,0.0189250618977678,0.0213685043886795,0.959706433713553,0.0288923802779547,0.178635922639046,0.00221831171781029
"130",16,"NADS_IMPAIR_3_20220415092038.daq",0,"RuralStr",1,0,0.0159300236189219,0.0306147576431054,0.953455218737973,-0.0297970418751885,0.204338103163063,0.00155093360955087
"131",17,"NADS_IMPAIR_3_20220511082921.daq",0,"RuralStr",1,0,0.00997225354130804,0.0112826096592519,0.97874513679944,-0.0320486519271162,0.102794038686657,0.000975437799305181
"132",18,"NADS_IMPAIR_2_20220411084131.daq",0,"RuralStr",1,0,0.0139041001370188,0.0156189531737247,0.970476946689256,-0.0279561540727725,0.0868373784378983,0.00169894503163182
"133",19,"NADS_IMPAIR_3_20220430141153.daq",0,"RuralStr",1,0,0.0136307127979873,0.017537153413742,0.968832133788271,-0.060970581880843,0.296061976352488,0.0012606408829008
"134",21,"NADS_IMPAIR_1_20220502083604.daq",0,"RuralStr",1,0,0.0328787298925661,0.00795924382662574,0.959162026280808,-0.0959190659733263,0.0523122396363857,0.00400753709184932
"135",22,"NADS_IMPAIR_2_20220430082844.daq",0,"RuralStr",1,0,0.0100509111002963,0.0114284011123771,0.978520687787326,0.0336719947585193,0.0553026931769834,0.000934193659906572
"136",23,"NADS_IMPAIR_1_20220528083501.daq",0,"RuralStr",1,0,0.0237630832025693,0.00916326276370825,0.967073654033722,0.206535629158899,0.120433168854301,0.00181960052707077
"137",24,"NADS_IMPAIR_2_20220506083407.daq",0,"RuralStr",1,0,0.0165747230661752,0.00884583553621536,0.974579441397609,0.0570433439171899,0.0531699306981233,0.00138948422283459
"138",25,"NADS_IMPAIR_3_20220523083238.daq",0,"RuralStr",1,0,0.736268337380386,0.0744319413078716,0.189299721311742,-9.125565243414,13.7875933974496,0.00702081570708165
"139",26,"NADS_IMPAIR_1_20220525083546.daq",0,"RuralStr",1,0,0.0224420978002319,0.0181170022907036,0.959440899909064,0.0871711032738138,0.192666185930449,0.00119441662344068
"140",27,"NADS_IMPAIR_1_20220522083911.daq",0,"RuralStr",1,0,0.685720410879056,0.0276749869156492,0.286604602205295,-7.63142009454981,-2.40468504445019,0.0246768993561691
"141",1004,"NADS_IMPAIR_1_20220708084102.daq",0,"RuralStr",1,0,0.0141994067285278,0.0229008587157697,0.962899734555702,0.0460591613256622,0.108934430941454,0.00169931271077709
"142",1008,"NADS_IMPAIR_2_20220530132213.daq",0,"RuralStr",1,0,0.0327567655468518,0.00330321344718355,0.963940021005965,0.0124586455666725,0.116979498320686,0.00521873206483153
"143",1028,"NADS_IMPAIR_1_20220712142045.daq",0,"RuralStr",1,0,0.013197218521121,0.00846688912684273,0.978335892352036,-0.10951852318855,0.125151853288612,0.00157655113875485
"144",1029,"NADS_IMPAIR_2_20220709135457.daq",0,"RuralStr",1,0,0.0123831197195846,0.0146198633625024,0.972997016917913,0.0130248470454899,0.126113565055867,0.00101527361264977
"145",2012,"NADS_IMPAIR_3_20220709084027.daq",0,"RuralStr",1,0,0.0171220900921609,0.00977420438501142,0.973103705522828,0.0324349632990023,0.168704606783163,0.00181092662166661
"146",2020,"NADS_IMPAIR_1_20220712083309.daq",0,"RuralStr",1,0,0.0131673630293112,0.0331338546501433,0.953698782320546,0.197360835336134,0.236310063161963,0.00185239243412765
"147",1,"NADS_IMPAIR_1_20220526150752.daq",3,"RuralStr",2,0,0.0167167995061369,0.0281711822426886,0.955112018251175,0.0624396341197529,0.1308382474305,0.00185809579928944
"148",2,"NADS_IMPAIR_1_20220403104348.daq",3,"RuralStr",2,0,0.00922123685065424,0.0318460146172296,0.958932748532116,0.0335595446392178,0.122809555468234,0.00122555282754517
