"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_3_20220526160934.daq",3,"Dark",3,0,0.250376907487412,0.364655541309133,0.384967551203455,0.228361225348171,0.227415299234796,0.0416178062348607
"2",2,"NADS_IMPAIR_2_20220403114032.daq",3,"Dark",3,0,0.148621895175301,0.425162231556086,0.426215873268613,-0.429420845952632,0.269588526984196,0.0446225440017704
"3",3,"NADS_IMPAIR_1_20220427105058.daq",3,"Dark",3,0,0.169905521292601,0.439892233128292,0.390202245579108,0.238905049613898,0.171771984128822,0.0430724950301171
"4",5,"NADS_IMPAIR_1_20220429104213.daq",3,"Dark",3,0,0.16424013894789,0.433355247353754,0.402404613698355,0.250924435036467,0.38358594175807,0.0447012685256745
"5",6,"NADS_IMPAIR_1_20220507155326.daq",3,"Dark",3,0,0.175870495732051,0.427175406886002,0.396954097381947,-0.254537722152418,0.664663853326571,0.0498527149972071
"6",9,"NADS_IMPAIR_2_20220506160030.daq",3,"Dark",3,0,0.115873602905325,0.398981918792141,0.485144478302534,-0.343703398083943,0.311582754427102,0.0475415392144509
"7",10,"NADS_IMPAIR_2_20220330104740.daq",3,"Dark",3,0,0.109247646218524,0.405487811214376,0.4852645425671,-0.684980939850727,0.380294854309245,0.0495640461521829
"8",11,"NADS_IMPAIR_3_20220507102244.daq",3,"Dark",3,0,0.152983450735198,0.433678451455219,0.413338097809583,-0.188945993525271,0.475047011591427,0.0434659133990796
"9",13,"NADS_IMPAIR_2_20220504114130.daq",3,"Dark",3,0,0.298004059412317,0.348793797742399,0.353202142845283,-0.5312472236671,0.571586200301403,0.0400335477875559
"10",14,"NADS_IMPAIR_1_20220410103320.daq",3,"Dark",3,0,0.161242177266565,0.422800960561902,0.415956862171533,-0.0809191440925617,0.468510734172281,0.0416883852194999
"11",15,"NADS_IMPAIR_3_20220527155636.daq",3,"Dark",3,0,0.118034051521469,0.425296292409099,0.456669656069432,0.0627884577602084,0.32280624053759,0.0409302948491974
"12",16,"NADS_IMPAIR_2_20220415112103.daq",3,"Dark",3,0,0.0994647816683278,0.369082925252028,0.531452293079644,-0.420287341788048,0.230143760193432,0.0498261591900832
"13",17,"NADS_IMPAIR_2_20220511102823.daq",3,"Dark",3,0,0.0992451187224681,0.499055793636978,0.401699087640554,-0.681668027031623,0.761411612742873,0.0421961475428793
"14",18,"NADS_IMPAIR_3_20220411104336.daq",3,"Dark",3,0,0.125421638286465,0.422884744949696,0.451693616763839,-0.0520779220603965,0.413761876688764,0.0431669571564465
"15",19,"NADS_IMPAIR_1_20220430161040.daq",3,"Dark",3,0,0.0995557238087809,0.454500644767648,0.445943631423572,0.0956469420943347,0.515391685928393,0.0485164966654715
"16",21,"NADS_IMPAIR_3_20220502104440.daq",3,"Dark",3,0,0.136942319273758,0.337620478455212,0.525437202271031,0.051360678746658,0.30325565911264,0.0478428722358434
"17",22,"NADS_IMPAIR_1_20220430102753.daq",3,"Dark",3,0,0.16986473675174,0.389388067388214,0.440747195860046,-0.374048651656897,0.795342130308487,0.0424887841599653
"18",23,"NADS_IMPAIR_2_20220528104156.daq",3,"Dark",3,0,0.124241391761455,0.47345181173477,0.402306796503775,-0.292613195352821,0.359831330834715,0.0470154814938037
"19",24,"NADS_IMPAIR_3_20220506103431.daq",3,"Dark",3,0,0.142651038428648,0.423581112776463,0.433767848794889,0.125135004170955,0.110462740235177,0.04073703756718
"20",25,"NADS_IMPAIR_2_20220523103441.daq",3,"Dark",3,0,0.186312089172727,0.428429407246023,0.38525850358125,-0.261467978490113,0.512299294214786,0.04253081225057
"21",26,"NADS_IMPAIR_3_20220525104158.daq",3,"Dark",3,0,0.277422562303255,0.342878730545605,0.37969870715114,-0.250323317848588,0.466465782562645,0.0324434151259115
"22",27,"NADS_IMPAIR_2_20220522105011.daq",3,"Dark",3,0,0.121303608684439,0.330381159640117,0.548315231675444,-0.25132647898386,0.0534973568105308,0.046469163299258
"23",1004,"NADS_IMPAIR_2_20220708103939.daq",3,"Dark",3,0,0.137060216235767,0.513254471084484,0.349685312679749,-0.270382642982732,0.603016295649746,0.0514584588803498
"24",1007,"NADS_IMPAIR_1_20220529111450.daq",3,"Dark",3,0,0.0771885024678647,0.365537513538615,0.557273983993521,0.246426565070816,0.140057028934992,0.0650683390314324
"25",1008,"NADS_IMPAIR_1_20220530152503.daq",3,"Dark",3,0,0.119290574356767,0.466977700527496,0.413731725115737,-0.0718083851117106,0.509635196902467,0.0463900633881149
"26",1028,"NADS_IMPAIR_3_20220712161835.daq",3,"Dark",3,0,0.0774489667989713,0.452753143537158,0.469797889663871,-0.0354449458046302,0.351961135899268,0.0555677862078945
"27",1029,"NADS_IMPAIR_3_20220709155332.daq",3,"Dark",3,0,0.133823927819216,0.449579378008974,0.41659669417181,0.0727585282624569,0.341915444341273,0.04485799374432
"28",1030,"NADS_IMPAIR_1_20220710161926.daq",3,"Dark",3,0,0.110756636833141,0.470336999642503,0.418906363524356,0.054901120055912,0.317000085824664,0.0369597502153847
"29",2012,"NADS_IMPAIR_1_20220709103803.daq",3,"Dark",3,0,0.0700186588961945,0.444279698012283,0.485701643091523,0.0371092355803214,0.393197916738239,0.0457093626308974
"30",2020,"NADS_IMPAIR_3_20220712104325.daq",3,"Dark",3,0,0.112675383815505,0.453607525646862,0.433717090537633,-0.286975164581584,0.568418935867636,0.0360720861559197
"31",1,"NADS_IMPAIR_3_20220526160934.daq",3,"Gravel",3,0,0.171122655964532,0.556323702125608,0.27255364190986,0.64565700076487,0.206984175076831,0.0401951604830353
"32",2,"NADS_IMPAIR_2_20220403114032.daq",3,"Gravel",3,0,0.805023812071462,0.0930209515241171,0.10195523640442,0.454009467825204,0.24340522219747,0.0877053402252572
"33",3,"NADS_IMPAIR_1_20220427105058.daq",3,"Gravel",3,0,0.130746041664129,0.629481885330416,0.239772073005455,0.591086759929831,0.143452248595124,0.0313041953257721
"34",5,"NADS_IMPAIR_1_20220429104213.daq",3,"Gravel",3,0,1,0,0,0.228871858913223,0.0758839718523946,0.139547683743881
"35",6,"NADS_IMPAIR_1_20220507155326.daq",3,"Gravel",3,0,0.701799502302376,0.298200497697624,0,0.708525178722177,0.286592055739818,0.0979433843378369
