"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"1",1,"NADS_IMPAIR_1_20220526150752.daq",3,"Dark",2,0,0.104536594217995,0.417867677205257,0.477595728576748,-0.0140862540444288,0.593331667165269,0.041007300214293
"2",2,"NADS_IMPAIR_1_20220403104348.daq",3,"Dark",2,0,0.152587375958723,0.44386570449473,0.403546919546547,0.0154555874056147,0.476419433865951,0.0447115381668176
"3",3,"NADS_IMPAIR_3_20220427095517.daq",3,"Dark",2,0,0.146139849600674,0.47832020535621,0.375539945043116,0.195419972340401,0.228249731843378,0.0413406437972294
"4",5,"NADS_IMPAIR_2_20220429094441.daq",3,"Dark",2,0,0.264343830248501,0.38624397239953,0.349412197351969,-0.475237921308241,0.507286662951739,0.0418173988174109
"5",6,"NADS_IMPAIR_3_20220507145828.daq",3,"Dark",2,0,0.173248706618545,0.405023572461137,0.421727720920318,-0.166433357186508,0.482992521639176,0.0510937692270269
"6",9,"NADS_IMPAIR_1_20220506150209.daq",3,"Dark",2,0,0.111658310544236,0.389221249663557,0.499120439792207,0.191969204306314,0.253276564838058,0.0469071976169193
"7",10,"NADS_IMPAIR_3_20220330095122.daq",3,"Dark",2,0,0.0897250278077341,0.40682836186501,0.503446610327256,-0.290450999953534,0.429087289747555,0.0504963328481954
"8",11,"NADS_IMPAIR_1_20220507092123.daq",3,"Dark",2,0,0.178505225885757,0.432436377532924,0.389058396581319,-0.214168911543279,0.492464044806545,0.0416748423512381
"9",13,"NADS_IMPAIR_3_20220504104317.daq",3,"Dark",2,0,0.214381052327976,0.382276459877499,0.403342487794524,-0.447217445280665,0.639291508733197,0.0411864262728457
"10",14,"NADS_IMPAIR_2_20220410093936.daq",3,"Dark",2,0,0.182970086111851,0.408859106169607,0.408170807718542,-0.21029033199769,0.171130903457848,0.0423762420728521
"11",15,"NADS_IMPAIR_2_20220527150054.daq",3,"Dark",2,0,0.117782797424676,0.443968176349248,0.438249026226076,-0.308283021408945,0.191193518087215,0.0407586133282859
"12",16,"NADS_IMPAIR_1_20220415102453.daq",3,"Dark",2,0,0.0675842686049251,0.421920830104247,0.510494901290828,0.197472468982868,0.444022295530973,0.0501628440596754
"13",17,"NADS_IMPAIR_1_20220511092705.daq",3,"Dark",2,0,0.0950073436864349,0.437050110897359,0.467942545416206,-0.519387050302632,0.753620447343132,0.0378355640578066
"14",18,"NADS_IMPAIR_1_20220411094350.daq",3,"Dark",2,0,0.0782122603825859,0.503117400349422,0.418670339267992,-0.286703569636588,0.493671684851453,0.0453145176832319
"15",19,"NADS_IMPAIR_2_20220430151116.daq",3,"Dark",2,0,0.158966397774292,0.483816188252252,0.357217413973457,-0.368787240675919,0.311740108425155,0.046111285004138
"16",21,"NADS_IMPAIR_2_20220502094227.daq",3,"Dark",2,0,0.137643746738592,0.450342598756177,0.41201365450523,-0.476135120256839,0.445680485086602,0.0508935054007772
"17",22,"NADS_IMPAIR_3_20220430093142.daq",3,"Dark",2,0,0.164389585346442,0.388214472979173,0.447395941674385,-0.245904587556082,0.634592769707445,0.0425364430144191
"18",23,"NADS_IMPAIR_3_20220528094558.daq",3,"Dark",2,0,0.169019065379169,0.455582755547867,0.375398179072965,0.0947923266662168,0.240250266451157,0.0398371650269397
"19",24,"NADS_IMPAIR_1_20220506094051.daq",3,"Dark",2,0,0.104376019264487,0.432239900449716,0.463384080285797,0.00119619581675165,0.508080899145782,0.04613733322302
"20",25,"NADS_IMPAIR_1_20220523093834.daq",3,"Dark",2,0,0.217174814874966,0.370021252842306,0.412803932282728,0.0762944057943934,0.873062835928062,0.0434464612189881
"21",26,"NADS_IMPAIR_2_20220525094530.daq",3,"Dark",2,0,0.207946310203742,0.38803618139518,0.404017508401077,-0.52169323020634,0.449984744101138,0.0324194225406794
"22",27,"NADS_IMPAIR_3_20220522095157.daq",3,"Dark",2,0,0.109734398116951,0.355911037150716,0.534354564732333,0.254913672164673,0.0816790805171412,0.041991960942956
